,AIV,AMT,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCN,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SLG,SPG,UDR,VNO,VTR,WY
228,42.369999,108.769997,167.339996,127.550003,27.02,88.83000200000002,91.709999,353.0,60.66,210.639999,75.050003,144.179993,25.540001,68.75,32.531876000000004,15.5,33.740002000000004,28.09,85.470001,76.300003,60.970001,49.779999,210.389999,73.989998,104.910004,196.080002,33.720001,77.17057,66.400002,30.83
229,42.490002,111.309998,166.71000700000005,127.400002,26.690001,91.349998,93.059998,356.950012,60.830002,205.320007,75.5,145.720001,25.85,69.0,32.723133000000004,15.43,34.52,28.01,87.010002,76.099998,61.459999,49.959999,211.369995,73.720001,104.800003,197.830002,33.59,76.709785,66.129997,31.1
230,43.07,112.970001,168.309998,128.080002,26.799999,91.940002,94.699997,363.51001,61.27,208.570007,76.08000200000002,148.779999,26.389999,70.690002,33.214935,15.6,35.220001,28.35,89.019997,77.040001,62.52,51.360001,214.740005,74.589996,106.139999,199.050003,34.139999,77.493935,66.449997,31.360001
231,42.919998,112.989998,168.860001,126.910004,26.610001,92.279999,94.760002,361.480011,62.209999,209.160004,76.010002,147.25,26.120001,69.589996,33.023678000000004,15.45,34.41,28.110001,89.860001,76.599998,62.200001,51.299999,214.220001,74.690002,105.32,197.25,33.900002,77.162491,66.980003,31.469999
232,43.52,114.349998,170.25,127.160004,26.959999,92.489998,95.75,362.380005,61.990002,209.199997,76.68,147.720001,26.360001,69.980003,33.296902,15.59,34.419998,28.09,91.269997,76.730003,63.009998,51.98,215.679993,74.779999,106.410004,198.440002,34.169998,77.922394,67.400002,31.98
233,42.900002,114.43,168.479996,127.379997,26.799999,92.150002,96.75,367.399994,61.060001,207.619995,76.099998,147.389999,26.16,70.41999799999998,33.433514,15.76,34.25,28.01,91.620003,76.470001,62.740002,52.0,215.910004,74.099998,105.300003,198.330002,33.709999,77.54244200000002,67.68,31.870001
234,42.900002,115.059998,169.740005,127.419998,27.629999,91.720001,96.419998,369.450012,61.189999,208.259995,76.470001,147.5,26.370001,70.610001,33.488159,15.73,34.279999,28.08,92.540001,76.91999799999998,62.650002,52.59,215.570007,73.910004,108.0,199.0,33.860001000000004,77.768799,68.980003,31.83
235,42.990002,114.0,166.75,125.150002,27.219999,90.589996,95.269997,365.470001,60.57,205.929993,75.800003,145.970001,25.92,70.449997,33.132969,15.38,33.790001000000004,27.860001,91.519997,76.16999799999998,62.080002,52.040001,213.070007,73.550003,103.5,195.789993,33.509998,76.531929,68.300003,31.16
236,43.630001,116.129997,168.880005,126.610001,28.15,95.540001,96.410004,371.98999,61.389999,208.070007,75.040001,148.0,26.15,70.849998,32.868851,15.54,34.080002,28.190001,93.589996,77.07,62.259998,52.75,210.679993,74.730003,102.739998,197.679993,33.900002,77.34034,68.699997,31.610001
237,42.720001,116.400002,164.929993,125.800003,28.24,94.93,96.169998,370.410004,60.040001,203.5,74.949997,147.529999,26.01,70.790001,32.905281,15.5,34.209999,27.780001,92.129997,76.639999,62.09,52.740002,210.02999900000003,73.690002,101.269997,196.339996,33.049999,76.604691,68.839996,31.139999
238,42.610001,116.150002,166.910004,124.519997,27.66,93.419998,96.269997,372.790009,61.439999,204.020004,75.18,147.550003,25.9,70.440002,32.367943,15.34,34.16,27.52,92.470001,76.050003,62.040001,52.299999,212.050003,73.220001,100.220001,195.110001,33.380001,76.879547,68.360001,30.6
239,43.040001,116.730003,169.110001,121.769997,26.870001,92.699997,97.660004,368.100006,60.970001,207.100006,74.470001,146.080002,25.48,69.360001,31.876139,15.03,33.98,27.26,92.470001,74.58000200000002,61.240002,52.259998,210.119995,72.470001,98.910004,188.149994,34.16,75.2789,67.779999,30.4
240,42.860001,116.040001,166.529999,120.25,26.51,90.970001,92.120003,352.25,59.990002,208.009995,70.589996,143.490005,24.709999,68.760002,31.156649,14.96,32.830002,26.459999,90.75,71.860001,58.700001,51.220001,203.690002,70.91999799999998,97.029999,184.229996,33.580002,74.421989,66.91999799999999,30.48
241,43.34,116.949997,168.330002,119.279999,26.139999,91.699997,93.110001,354.589996,60.540001,210.229996,72.489998,144.509995,24.75,68.889999,31.211294,15.09,33.0,26.450001,90.419998,70.82,58.73,51.439999,209.089996,71.470001,96.370003,184.270004,33.93,74.2118,67.050003,29.98
242,43.990002,117.190002,171.389999,120.279999,25.84,91.330002,93.43,357.7799990000001,61.639999,213.539993,73.059998,144.860001,25.07,68.279999,30.950001,15.46,33.290001000000004,26.5,92.519997,70.43,59.07,51.959999,213.25999500000003,71.730003,98.019997,184.990005,34.889999,74.987877,67.58000200000001,29.940001
