,ALB,APD,AVY,BLL,CF,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PPG,PX,SEE,SHW,VMC,WRK
194,83.839996,143.561523,78.190002,40.169998,24.93,122.279999,66.839996,11.82,48.02,138.059998,47.0,78.709999,194.270004,107.870003,29.219999,42.5,49.84,106.279999,121.220001,47.580002,289.790009,119.110001,44.669998
195,82.309998,143.469009,77.370003,39.880001,23.940001,121.800003,67.389999,11.08,47.009998,137.630005,46.540001,78.099998,195.690002,107.139999,28.5,39.91,48.919998,106.099998,121.989998,47.43,286.160004,120.209999,44.439999
196,82.91999799999998,144.135056,78.08000200000002,40.07,24.559999,123.239998,68.010002,11.24,47.52,138.770004,48.639999,79.370003,191.449997,107.519997,28.67,40.779999,49.23,106.970001,123.379997,47.84,286.700012,117.830002,47.34
197,81.93,142.987976,77.139999,39.369999,24.450001,123.010002,67.16999799999999,10.82,46.509998,136.509995,48.799999,79.08000200000002,188.690002,107.860001,27.67,39.57,48.630001,105.910004,121.900002,46.709999,285.890015,116.0,47.970001
198,82.75,144.070313,77.459999,39.294998,24.98,124.089996,68.059998,10.94,47.240002,137.850006,48.900002,79.66999799999998,189.600006,107.5,27.950001,40.91,49.439999,107.349998,122.440002,47.0,286.149994,116.989998,48.59
199,81.25,144.37558,77.459999,39.264999,25.969999,123.860001,67.970001,10.43,47.150002,138.21000700000002,48.799999,79.529999,187.5,107.18,30.299999,38.02,48.34,107.080002,122.349998,46.860001,287.01001,116.099998,48.16
200,79.949997,144.431076,77.559998,39.695,26.110001,122.739998,67.879997,10.32,47.0,138.240005,48.59,78.870003,182.619995,106.489998,30.0,38.029999,48.599998,106.019997,122.269997,47.060001,283.369995,113.32,48.009998
201,82.459999,145.23588600000005,77.389999,40.130001,25.83,123.720001,68.230003,10.63,47.209999,139.03999299999998,49.0,79.230003,184.740005,107.220001,29.48,40.290001,49.779999,106.739998,123.040001,47.869999,285.549988,113.440002,48.900002
202,82.129997,145.568924,78.510002,40.505001,25.959999,124.160004,68.550003,10.6,47.59,139.399994,49.25,79.660004,184.720001,108.169998,29.280001,41.09,49.119999,107.370003,122.800003,48.689999,287.380005,114.889999,48.720001
203,82.709999,144.976868,78.029999,40.369999,25.73,124.470001,67.199997,10.71,46.48,139.110001,49.150002,79.209999,180.949997,106.769997,28.52,41.759998,49.299999,107.239998,121.860001,46.860001,284.589996,112.959999,48.84
204,82.760002,145.642929,77.949997,40.25,25.4,122.400002,66.949997,10.62,46.91,139.259995,49.259998,79.589996,180.910004,106.900002,28.629999,41.970001,49.75,106.540001,122.269997,47.349998,285.190002,112.970001,48.959999
205,79.910004,143.450516,77.019997,39.814999,25.719999,121.489998,65.360001,10.48,46.98,137.600006,48.77,78.220001,178.610001,108.349998,28.059999,41.279999,48.59,104.580002,120.239998,46.560001,281.049988,110.379997,47.259998
206,75.599998,139.61146499999998,74.959999,38.709999,24.92,118.330002,64.269997,10.01,44.529999,133.96000700000002,47.299999,75.730003,174.820007,106.980003,27.09,38.75,46.060001,100.480003,116.080002,45.09,273.390015,107.360001,45.959999
207,76.779999,138.603149,75.809998,38.685001,25.0,119.5,64.08000200000001,10.65,45.439999,135.360001,47.880001,75.83000200000002,178.429993,106.93,26.799999,39.880001,46.990002,101.709999,117.400002,45.290001,278.76001,111.099998,46.599998
208,76.050003,136.651245,75.5,38.540001,24.07,117.529999,64.220001,10.09,45.080002,135.21000700000002,47.57,74.529999,178.470001,107.010002,26.59,39.18,45.5,101.07,118.239998,45.279999,274.839996,109.5,46.709999
209,75.900002,135.568924,75.57,38.529999,23.940001,117.300003,64.010002,9.81,46.119999,134.440002,47.52,75.459999,177.380005,106.699997,25.719999,38.380001,45.27,100.690002,116.400002,45.25,276.23999,109.339996,46.02
